namer	l1	l2	order	type
RFe151	6419.85	6422.85	0.0	line
RFe152	6429.34	6434.18	0.0	line
RFe153	6454.88	6457.88	0.0	line
RFe154	6467.69	6470.69	0.0	line
RFe155	6474.12	6477.12	0.0	line
RFe156	6480.37	6483.37	0.0	line
RFe157	6493.48	6500.44	0.0	line
RFe158	6514.58	6519.87	0.0	line
RFe159	6532.43	6535.43	0.0	line
RFe160	6544.74	6547.74	0.0	line
RFe161	6572.73	6575.73	0.0	line
RFe162	6579.71	6582.71	0.0	line
RFe163	6589.81	6595.37	0.0	line
RFe164	6596.06	6599.06	0.0	line
RFe165	6606.52	6610.61	0.0	line
RFe166	6626.04	6629.04	0.0	line
RFe167	6631.91	6635.25	0.0	line
RFe168	6646.58	6649.58	0.0	line
RFe169	6702.07	6705.07	0.0	line
RFe170	6708.82	6711.82	0.0	line
RFe171	6712.24	6717.74	0.0	line
RFe172	6723.86	6726.86	0.0	line
RFe173	6748.65	6754.21	0.0	line
RFe174	6782.2	6785.2	0.0	line
RFe175	6791.76	6794.76	0.0	line
RFe176	6808.76	6811.76	0.0	line
RFe177	6818.87	6821.87	0.0	line
RFe178	6827.09	6830.09	0.0	line
RFe179	6835.5	6845.16	0.0	line
RFe180	6853.32	6859.65	0.0	line
RFe181	6943.7	6946.7	0.0	line
RFe182	6977.35	6980.35	0.0	line
RFe183	7088.88	7091.88	0.0	line
RFe184	7126.07	7129.07	0.0	line
RFe185	7131.49	7134.49	0.0	line
RFe186	7141.02	7146.81	0.0	line
RFe187	7210.94	7213.94	0.0	line
RFe188	7218.18	7225.98	0.0	line
RFe189	7300.06	7303.06	0.0	line
RFe190	7400.18	7403.18	0.0	line
RFe191	7409.65	7412.65	0.0	line
RFe192	7420.06	7423.06	0.0	line
RFe193	7434.09	7437.09	0.0	line
RFe194	7444.25	7447.25	0.0	line
RFe195	7447.83	7450.83	0.0	line
RFe196	7478.19	7481.19	0.0	line
RFe197	7490.15	7493.15	0.0	line
RFe198	7493.56	7496.56	0.0	line
RFe199	7497.03	7500.03	0.0	line
RFe200	7509.52	7512.52	0.0	line
RFe201	7514.33	7517.33	0.0	line
RFe202	7529.64	7534.87	0.0	line
RFe203	7546.4	7549.4	0.0	line
RFe204	7558.22	7561.22	0.0	line
RFe205	7567.4	7570.4	0.0	line
RFe206	7582.29	7587.52	0.0	line
RFe207	7670.86	7673.86	0.0	line
RFe208	7710.22	7713.22	0.0	line
RFe209	7721.71	7724.71	0.0	line
RFe210	7746.77	7752.61	0.0	line
RFe211	7775.6	7778.6	0.0	line
RFe212	7806.41	7809.41	0.0	line
RFe213	7830.7	7833.7	0.0	line
RFe214	7839.88	7842.88	0.0	line
RFe215	7853.9	7856.9	0.0	line
RFe216	7868.11	7871.11	0.0	line
RFe217	7911.37	7914.37	0.0	line
