name line center width
Fe1 4903.31 4903.302473928992 0.19532454914165479
Fe1 4905.133 4905.138524690919 0.12500771144987083
Fe1 4917.23 4917.233020773741 0.1250077114503559
Fe1 4924.77 4924.772548370592 0.13282069341568103
Fe1 4946.387 4946.391069469539 0.14063367538197138
Fe1 4950.105 4950.110048885187 0.1406336753824529
Fe1 4966.088 4966.095409986902 0.15625963931310444
Fe1 4969.917 4969.92377115007 0.12500771144938577
Fe1 5002.792 5002.792986279548 0.1328206934161642
Fe1 5014.942 5014.942173236132 0.15625963931310444
Fe1 5022.235 5022.239498392046 0.14063367538197138
Fe1 5031.914 5031.919783047483 0.14844665734729764
Fe1 5044.211 5044.217416661413 0.13282069341568103
Fe1 5049.82 5049.819324730783 0.18751156717490117
Fe1 5060.078 5060.069957069712 0.12500771144987083
Fe1 5068.766 5068.765805997477 0.16407262127891045
Fe1 5074.748 5074.750550183164 0.16407262127843297
Fe1 5090.773 5090.782789176672 0.14844665734777765
Fe1 5109.652 5109.651140623711 0.14063367538148988
Fe1 5127.359 5127.3631707398345 0.1328206934161642
Fe1 5133.688 5133.691686132009 0.21095051307184592
Fe1 5141.739 5141.746870538591 0.1406336753810084
Fe1 5150.839 5150.856807510536 0.17188560324423938
Fe1 5151.911 5151.9115600759 0.1328206934161642
Fe1 5162.273 5162.287200126279 0.1796985852100451
Fe1 5198.711 5198.71132205013 0.14844665734825765
Fe1 5215.18 5215.1810880337125 0.16407262127843297
Fe1 5216.274 5216.282718490871 0.1562596393116684
Fe1 5217.389 5217.392161929993 0.1562596393140618
Fe1 5229.845 5229.861681147165 0.15625963931310444
Fe1 5242.491 5242.495272985618 0.1328206934161642
Fe1 5253.462 5253.464699665386 0.1328206934161642
Fe1 5288.525 5288.529362727213 0.13282069341568103
Fe1 5307.361 5307.36646224639 0.14063367538148988
Fe1 5322.041 5322.047055359842 0.13282069341664737
Fe1 5339.929 5339.9309710792095 0.1875115671758502
Fe1 5364.871 5364.877822495521 0.16407262127891045
Fe1 5373.709 5373.71430509867 0.14063367538148988
Fe1 5379.574 5379.574041572905 0.14063367538148988
Fe1 5389.479 5389.480902705345 0.14063367538197138
Fe1 5398.279 5398.278320398666 0.14063367538148988
Fe1 5400.501 5400.520646222806 0.2265764770034561
Fe1 5409.133 5409.138365330916 0.12500771144987083
Fe1 5417.033 5417.037290098186 0.1328206934161642
Fe1 5441.339 5441.343476993316 0.14063367538197138
Fe1 5445.042 5445.046830445031 0.17188560324376295
Fe1 5461.55 5461.547848356479 0.12500771144987083
Fe1 5466.396 5466.399710157148 0.14844665734777765
Fe1 5473.9 5473.907985826135 0.14063367538148988
Fe1 5501.465 5501.472186200938 0.15625963931310444
Fe1 5506.779 5506.7850139375805 0.15625963931262576
Fe1 5543.936 5543.943556166199 0.14063367538148988
Fe1 5554.894 5554.889543900072 0.1796985852105205
Fe1 5576.089 5576.101789936805 0.17188560324376295
Fe1 5619.595 5619.604473521531 0.12500771144890072
Fe1 5633.946 5633.949108410459 0.15625963931310444
